120;213;-168;274,439
231;329;175;-272,463
722;-256;157;126,749
648;102;182;-367,565
221;415;157;-256,537
328;-166;272;-182,252
252;155;236;123,766
527;126;182;-372,463
210;215;149;261,835
134;323;185;-262,380
345;346;113;-206,598
600;154;172;-571,355
560;123;210;-347,546
114;226;254;-159,435
234;321;218;163,936
997;-234;163;-564,362
201;534;108;-286,557
250;156;207;134,747
546;127;-216;362,819
487;106;213;106,912
359;281;123;177,940
211;134;229;262,836
425;137;166;126,854
121;423;-268;167,443
102;253;366;-266,455
301;223;-162;277,639
222;134;267;134,757
321;254;268;-267,576
322;233;267;-367,455
897;-354;213;167,923
163;262;128;182,735
108;251;281;231,871
207;231;226;172,836
214;392;157;162,925
213;232;318;162,925
123;223;408;174,928
321;281;213;107,922
166;246;123;127,662
785;-324;274;148,883
366;176;231;166,939
654;192;-321;127,652
267;276;123;216,882
268;271;121;178,838
267;176;-262;239,420
213;293;108;292,906
978;-324;282;-383,553
417;126;-187;177,533
258;292;392;-481,461
369;161;-160;173,543
159;360;134;183,836
354;282;126;124,886
545;119;173;116,953
654;293;-583;262,626
201;235;136;277,849
650;299;-563;267,653
254;262;198;134,848
542;-162;167;236,783
320;243;266;101,930
145;266;287;116,814
350;293;213;106,962
145;148;312;108,713
350;276;236;-216,646
893;-467;237;166,829
325;228;364;-664,253
556;276;113;-382,563
213;234;216;177,840
645;137;112;-387,507
102;263;167;321,853
306;324;125;189,944
540;312;-326;236,762
871;-231;123;173,936
987;-456;234;109,874
250;283;123;167,823
522;234;167;-321,602
222;231;283;-372,364
250;155;236;125,766
527;123;185;-372,463
560;125;208;-347,546
113;226;255;-159,435
210;215;145;265,835
134;321;187;-262,380
234;321;220;161,936
344;347;113;-206,598
600;151;175;-571,355
221;414;158;-256,537
121;213;-168;273,439
329;-166;271;-182,252
230;330;175;-272,463
722;-256;162;121,749
649;101;182;-367,565
273;362;118;162,915
171;269;257;127,824
183;267;299;120,869
121;235;187;232,775
111;235;217;177,740
217;136;182;119,654
176;134;183;124,617
231;216;136;163,746
218;456;162;106,942
232;231;172;216,851
162;375;136;164,837
126;146;173;217,662
248;316;164;106,834
256;165;134;268,823
216;317;123;216,872
