32;52;-20;10,74
11;22;-11;50,72
32;-12;21;-10,31
51;11;10;-20,52
61;20;-51;12,42
40;50;-10;-60,20
15;11;10;51,87
71;-10;20;-50,31
61;11;11;-20,63
12;11;51;-50,24
51;40;-10;-31,50
11;61;10;-12,70
23;21;-11;10,43
12;56;-11;12,69
20;51;10;-20,61
10;32;-20;61,83
11;20;11;-10,32
61;13;-50;20,44
10;21;50;-30,51
41;-10;10;50,91
23;11;-31;30,33
60;20;-10;-50,20
50;10;21;-10,71
51;32;-20;15,78
50;12;31;-20,73
11;21;-11;16,37
33;-13;20;-10,30
50;12;11;-51,22
61;12;11;-20,64
30;53;-20;10,73
31;50;-20;20,81
10;22;-11;50,71
31;-21;55;-10,55
53;11;20;-33,51
62;21;-51;12,44
39;10;-22;-11,16
16;12;21;-23,26
62;20;-30;10,62
51;11;12;-62,12
20;29;-35;15,29
31;12;-10;50,83
12;15;11;-15,23
22;22;-11;10,43
11;57;-11;12,69
21;50;10;-20,61
51;10;20;-10,71
10;21;50;-30,51
22;12;-31;30,33
12;19;11;-10,32
52;31;-20;15,78
11;32;-20;60,83
32;-14;20;-10,30
62;11;11;-20,64
31;52;-20;10,73
50;12;31;-20,73
62;12;-50;20,44
62;18;-10;-50,20
40;-10;11;50,91
51;11;11;-51,22
12;21;-11;15,37
12;22;-11;15,38
33;-12;20;-11,30
50;10;11;-50,21
61;12;11;-31,53
30;52;-21;10,71
11;31;50;-30,62
23;-12;21;15,47
55;12;-10;22,79
32;-11;21;-22,20
26;11;-21;50,66
51;12;31;-21,73
50;32;-21;16,77
51;10;11;-11,61
60;21;-11;-50,20
23;10;-31;30,32
31;-11;23;-22,21
26;10;-21;52,67
51;11;31;-21,72
70;10;11;-50,41
62;11;10;-31,52
32;52;-21;10,73
61;20;-11;-50,20
21;10;-31;32,32
52;32;-23;15,76
50;10;12;-11,61
11;31;52;-63,31
22;-12;21;15,46
10;12;-10;21,33
12;22;-13;25,46
33;-21;30;-11,31
32;52;-20;15,79
11;21;-11;51,72
31;10;-21;53,73
50;11;10;-20,51
61;12;-51;12,34
30;50;-10;-60,10
15;21;50;-70,16
50;12;20;-50,32
42;-31;22;-11,22
12;12;50;-52,22
