234;115;213;273;-263,572
175;368;124;106;-217,556
210;255;269;121;106,961
122;452;162;107;-210,633
321;267;166;-218;117,653
897;-134;-127;126;173,935
232;118;388;-277;169,630
121;225;-166;256;176,612
501;-206;128;123;206,752
101;204;116;-160;267,528
548;121;271;-330;189,799
895;-234;166;-263;172,736
311;344;168;-212;-161,450
325;127;218;266;-312,624
112;228;123;273;-271,465
221;223;-165;171;284,734
121;234;298;183;-272,564
231;237;172;121;161,922
722;-367;289;-298;216,562
649;121;162;-467;179,644
271;267;136;162;-272,564
164;272;127;273;-376,460
168;271;231;266;-473,463
218;126;123;275;128,870
123;213;237;166;121,860
654;162;-303;-107;217,623
298;116;263;162;-275,564
172;364;136;126;106,904
289;161;183;134;162,929
162;325;216;112;-362,453
893;-231;173;127;-226,736
325;218;213;155;-501,410
556;187;123;108;-234,740
213;134;216;234;116,913
645;128;103;-246;-270,360
102;234;128;262;107,833
306;236;203;107;-234,618
540;115;166;-310;123,634
871;-530;311;273;-461,464
987;-564;123;127;166,839
447;123;263;-238;218,813
553;193;117;-237;127,753
314;321;237;-246;238,864
905;-703;125;216;213,756
321;426;106;-348;236,741
251;288;130;165;-312,522
230;246;217;231;-768,156
457;273;125;-324;123,654
198;226;321;118;-213,650
895;-236;177;-211;126,751
501;-206;130;121;206,752
122;452;165;104;-210,633
102;203;116;-160;267,528
121;223;-166;256;178,612
323;265;166;-218;117,653
175;368;124;106;-217,556
234;115;211;275;-263,572
895;-134;-127;126;175,935
235;115;388;-277;169,630
210;254;270;121;106,961
107;246;283;128;166,930
156;490;126;172;-387,557
136;326;173;118;171,924
322;213;129;182;106,952
897;-341;276;-276;267,823
548;116;172;107;-412,531
897;-234;162;106;-410,521
311;256;166;121;101,955
325;212;113;192;110,952
112;321;122;167;120,842
455;275;125;-324;123,654
198;225;321;119;-213,650
314;319;237;-246;240,864
905;-703;125;214;215,756
322;426;106;-348;235,741
251;288;131;164;-312,522
298;116;262;163;-275,564
172;364;132;130;106,904
198;224;321;120;-213,650
312;343;168;-212;-161,450
684;162;-210;127;162,925
323;232;278;-467;267,633
541;114;199;-306;126,674
445;215;164;-267;196,753
871;-260;156;166;-667,266
644;111;189;-468;287,763
798;116;-562;392;123,867
418;216;114;106;-218,636
657;167;-213;-266;408,753
854;-238;296;-601;213,524
112;229;123;272;-271,465
221;221;-165;173;284,734
231;233;172;121;165,922
445;217;162;-267;196,753
870;-260;156;167;-667,266
120;235;298;183;-272,564
325;128;218;265;-312,624
547;121;271;-330;190,799
897;-234;164;-263;172,736
310;345;168;-212;-161,450
