25;-17;10,18
27;16;-23,20
64;18;-22,60
34;-19;22,37
34;-18;14,30
33;-17;23,39
42;-27;24,39
22;51;-16,57
77;16;-37,56
23;-18;26,31
70;12;-27,55
22;-17;27,32
92;-75;13,30
32;-16;17,33
83;-27;21,77
83;-27;22,78
33;-18;21,36
33;-18;13,28
31;-16;23,38
43;-27;23,39
24;-18;12,18
26;17;-24,19
66;16;-22,60
22;52;-17,57
76;16;-36,56
21;-19;28,30
71;11;-27,55
24;-16;26,34
91;-75;13,29
34;-16;17,35
24;-18;26,32
71;12;-27,56
23;-16;27,34
91;-75;14,30
33;-17;17,33
83;-26;21,78
34;-18;21,37
32;-18;14,28
32;-17;24,39
42;-26;22,38
24;-17;12,19
27;17;-23,21
67;16;-23,60
20;53;-16,57
75;18;-37,56
24;-18;25,31
72;11;-26,57
22;-16;28,34
92;-75;12,29
33;-16;18,35
82;-27;22,77
32;-19;22,35
33;-18;14,29
32;-17;23,38
44;-26;23,41
24;-17;11,18
29;14;-23,20
66;17;-23,60
22;52;-16,58
77;16;-36,57
23;-18;11,16
26;18;-23,21
67;17;-23,61
33;-19;21,35
31;-18;16,29
31;-17;25,39
43;-27;22,38
21;52;-16,57
76;16;-36,56
23;-19;26,30
72;10;-27,55
23;-17;28,34
91;-76;14,29
32;-17;17,32
84;-26;20,78
76;17;-36,57
22;-18;27,31
72;12;-26,58
23;-16;28,35
21;-18;15,18
26;17;-23,20
66;16;-23,59
23;50;-17,57
34;-19;21,36
31;-18;15,28
31;-17;24,38
44;-27;22,39
91;-76;13,28
31;-17;18,32
80;-27;24,77
31;-16;24,39
43;-26;23,40
21;52;-17,56
75;17;-36,56
23;-18;25,30
23;-18;13,18
26;16;-24,18
68;16;-23,61
33;-18;22,37
33;-18;15,30
