"5,8,-8",5
"7,7,-6",8
"8,6,-6",8
"5,6,-6",5
"8,6,-7",7
"8,-2,7",13
"8,6,-6",8
"2,6,-1,6",13
"8,9,-6,7",18
"8,6,5,-9",10
"6,8,1,9,-6",18
"2,5,6,-6,7,8",22
"8,6,5,-7,-6,8",14
"8,-2,6,4,9,-8",17
"5,6,5,7,5,-7",21
"6,6,7,-2,7,-9",15
"3,3,7,-6,-2,8",13
"5,7,3,7,-6,7",23
"6,5,-6",5
"5,9,-6",8
"8,6,-6",8
"7,6,-7",6
"5,8,-8",5
"8,6,5,-9",10
"6,8,1,9,-6",18
"3,5,6,-6,7,8",23
"8,6,5,-7,-6,8",14
"9,-4,6,4,9,-8",16
"5,6,5,7,5,-7",21
"6,7,6,-2,7,-9",15
"4,3,7,-6,-2,8",14
"5,8,3,7,-6,7",24
"6,8,4,-9",9
"9,-6,5,6",14
"8,9,-6,7",18
"6,7,6,-2,-9",8
"6,6,5,7,-6",18
"9,-3,7,-2,-6,8",13
"6,1,7,1,8,-6",17
"6,8,4,-9",9
"9,-6,5,6",14
"8,9,-6,7",18
"6,2,6,6,-7",13
"6,7,6,-2,-9",8
"4,4,8,6,-7,2",17
"9,-3,6,-2,-6,8",12
"6,6,-7",5
"5,6,-8",3
"5,9,-6",8
"8,6,-6",8
"7,7,-6",8
"5,8,-8",5
"5,6,-6",5
"8,9,-6,7",18
"8,6,5,-9",10
"6,8,1,9,-6",18
"9,-3,7,-2,-6,8",13
"8,6,5,-7,-6,8",14
"9,-4,6,4,9,-8",16
"5,6,5,7,5,-7",21
"6,7,6,-2,7,-9",15
"4,3,7,-6,-2,8",14
"5,8,3,7,-6,7",24
"8,6,5,-9",10
"6,7,6,-2,-9",8
"6,2,6,6,-7",13
"9,-4,7,-2,-6,5",9
"1,6,6,5,6,-6",18
"8,7,-6,3",12
"6,6,-3,-7",2
"8,8,-4,-8",4
"6,7,3,-6",10
"3,3,6,-2,-9",1
"9,-4,8,-2,-6,1",6
"7,6,-8",5
"3,8,-7",4
"3,9,-6",6
"4,9,-9",4
"5,6,-6",5
"3,8,-8",3
"4,8,-6",6
"11,-7,5",9
"12,-9,6",9
"5,7,-6",6
"6,6,5,-7",10
"8,6,5,-9",10
"6,8,3,9,-6",20
"8,6,5,-7,-6,8",24
"5,9,3,6,-2,-6",15
"9,-4,6,2,9,-8",14
"7,3,8,6,-6,3",21
"5,6,5,1,6,-8",14
"5,6,-6",5
"7,6,2,-8",7
"7,7,-6,2",10
"2,7,5,-9",5
"3,3,5,-9",2
"9,3,-8,5",9
"9,-2,6,-7",6
"7,6,-8,3",8
"5,8,-7,6",12
"8,5,-9,5",9
"8,7,-8,3",10
"7,7,-9,3",8
"8,5,-7,8",14
"6,7,-8,3",8
