11;19;-10;25,45
13;18;-20;19,30
28;17;50;-45,50
13;17;-20;-10,0
16;14;10;-12,28
16;14;50;-24,56
17;13;10;-16,24
28;12;-20;54,74
19;52;-10;-54,7
30;-21;33;-22,20
30;-22;11;23,42
20;-12;12;-14,6
30;-15;-10;35,40
32;-15;-15;50,52
40;-25;11;53,79
27;18;50;-45,50
21;-12;11;-14,6
15;15;10;-12,28
29;11;-20;54,74
20;51;-10;-54,7
15;15;50;-24,56
31;-15;-10;34,40
31;-21;32;-22,20
14;17;-20;19,30
31;-22;11;22,42
15;15;10;-16,24
12;18;-10;25,45
30;-15;-15;52,52
42;-25;11;51,79
12;18;-20;-10,0
32;-15;-10;33,40
31;-15;-15;51,52
41;-25;10;53,79
32;-22;11;21,42
19;-12;13;-14,6
16;13;11;-12,28
17;13;50;-24,56
18;12;10;-16,24
13;19;-10;23,45
13;19;-20;20,30
29;16;50;-45,50
14;16;-20;-10,0
29;12;-20;53,74
18;53;-10;-54,7
29;-21;34;-22,20
22;-11;19;13,43
27;19;51;-29,68
22;19;-19;11,33
12;29;51;-33,59
26;10;-18;22,40
10;61;-15;12,68
26;14;51;-65,26
17;18;-17;17,35
52;18;10;-29,51
61;19;-11;10,79
31;-18;50;11,74
91;-83;19;51,78
27;14;-19;15,37
17;19;-18;27,45
26;10;-18;23,41
16;19;-18;18,35
51;18;11;-29,51
62;19;-11;10,80
32;-18;51;11,76
90;-83;20;51,78
21;-11;19;12,41
27;20;51;-28,70
22;18;-19;11,32
12;29;51;-32,60
24;12;-17;22,41
12;60;-14;12,70
27;13;51;-67,24
26;14;-19;13,34
17;19;-17;28,47
26;10;-17;22,41
32;-18;50;10,74
91;-83;20;50,78
25;16;-19;15,37
18;18;-18;27,45
24;12;-18;23,41
51;19;10;-29,51
60;19;-11;11,79
25;14;52;-65,26
15;20;-17;17,35
21;19;-19;12,33
13;27;51;-33,59
13;18;51;13,95
26;19;52;-29,68
25;11;-18;22,40
11;60;-15;12,68
27;13;-19;13,34
18;19;-17;27,47
11;61;-14;12,70
26;14;51;-67,24
25;11;-17;22,41
27;10;-17;21,41
22;-11;18;12,41
28;20;50;-28,70
31;-18;51;12,76
16;19;-18;18,35
