511;-260;359;156;165;-461,470
230;135;156;157;261;-468,471
122;373;218;-367;216;272,834
311;234;219;172;-421;218,733
997;-523;-217;173;123;274,827
201;229;231;266;-662;218,483
250;159;213;-256;236;125,727
546;187;213;-664;125;246,653
487;126;152;165;-320;299,909
359;181;123;277;-480;173,633
221;328;-283;216;163;146,791
328;122;183;-267;267;113,746
252;281;321;-429;128;162,715
527;131;280;-572;265;139,770
210;256;386;-326;136;214,876
134;231;267;233;-231;-167,467
345;246;115;126;105;-563,374
600;236;-272;177;122;-237,626
560;177;-464;362;127;108,870
114;216;-170;272;132;162,726
184;223;106;292;106;-461,450
235;236;173;211;-300;267,822
321;234;289;-234;116;107,833
280;123;123;147;263;-673,263
386;168;292;106;-321;321,952
267;267;134;176;-356;211,699
115;348;373;-371;275;138,878
465;175;143;166;-783;368,534
789;160;-862;321;253;167,828
285;165;193;223;-234;-171,461
250;199;131;265;106;-231,720
277;214;134;136;173;-482,452
176;266;216;286;-512;213,645
345;217;163;129;-234;234,854
163;254;216;123;191;-234,713
108;234;123;168;273;-203,703
207;245;173;129;162;-603,313
134;234;276;213;-223;-178,456
137;212;213;263;-262;273,836
423;123;127;166;-311;136,664
200;452;172;-512;345;167,824
413;292;152;106;-210;182,935
564;182;116;-210;193;109,954
192;213;107;253;108;-231,642
322;314;107;-210;111;-178,466
104;234;211;111;176;106,942
641;123;-127;126;172;-612,323
588;156;-387;276;127;177,937
654;162;107;-517;237;113,756
417;123;-260;226;236;123,865
201;229;231;265;-662;219,483
251;159;213;-256;235;125,727
545;188;213;-664;125;246,653
488;125;152;165;-320;299,909
360;180;123;277;-480;173,633
998;-523;-217;172;123;274,827
512;-260;359;155;165;-461,470
231;134;156;157;261;-468,471
122;373;218;-367;216;272,834
310;234;219;172;-421;219,733
198;216;241;266;-710;234,445
895;-352;111;162;126;-412,530
200;231;124;167;121;102,945
413;231;211;108;-421;117,659
564;288;-202;193;123;-213,753
192;134;216;213;167;-211,711
322;212;221;167;-387;106,641
104;231;228;272;-200;126,761
168;286;293;216;-412;276,827
192;115;216;217;-270;234,704
201;451;172;-512;345;167,824
414;291;152;106;-210;182,935
277;214;133;136;174;-482,452
564;289;-202;193;122;-213,753
321;315;107;-210;111;-178,466
547;187;212;-664;125;246,653
486;127;152;165;-320;299,909
589;155;-387;276;127;177,937
104;234;211;112;175;106,942
642;122;-127;126;172;-612,323
332;234;167;213;-392;182,736
658;161;-204;139;181;-301,634
591;264;108;-423;-180;273,633
210;223;122;189;-278;308,774
561;177;121;-328;125;207,863
211;214;109;113;106;162,915
879;100;-345;121;167;-201,721
232;213;108;272;109;-512,422
568;276;102;-621;208;245,778
777;167;-621;213;127;161,824
789;160;-862;321;252;168,828
600;235;-272;177;123;-237,626
560;178;-464;362;126;108,870
345;245;115;126;106;-563,374
114;216;-170;272;133;161,726
210;256;386;-326;136;214,876
527;130;280;-572;265;140,770
221;328;-283;215;163;147,791
328;122;182;-267;267;114,746
252;281;320;-429;128;163,715
