30;-28;15;-14;19,22
40;-16;10;11;-20,25
32;-24;9;61;-12,66
40;-25;15;54;-33,51
20;-15;15;20;-15,25
70;-17;15;-50;12,30
61;10;-15;22;-10,68
14;18;50;-18;10,74
24;22;51;-38;21,80
26;14;52;-31;17,78
30;-24;11;61;-12,66
41;-25;14;54;-33,51
30;-28;16;-14;18,22
41;-16;10;10;-20,25
19;-15;16;20;-15,25
60;11;-15;22;-10,68
13;19;50;-18;10,74
26;20;51;-38;21,80
27;14;52;-31;16,78
72;-17;15;-50;10,30
12;20;50;-18;10,74
27;20;51;-38;20,80
25;15;52;-31;17,78
73;-17;12;-50;12,30
62;10;-15;21;-10,68
31;-28;14;-14;19,22
40;-16;10;11;-20,25
31;-24;11;60;-12,66
42;-25;13;54;-33,51
22;-15;13;20;-15,25
71;-18;15;-50;12,30
60;10;-15;22;-10,67
13;19;51;-19;15,79
26;20;51;-39;22,80
27;13;52;-13;15,94
41;-28;15;-19;20,29
63;15;-19;30;-24,65
31;11;-19;16;-13,26
41;-25;15;53;-33,51
20;-15;15;20;-15,25
60;11;-16;21;11,87
40;-23;10;11;52,90
62;16;13;-62;-11,18
30;10;-19;16;-15,22
71;-18;15;-51;11,28
61;11;-15;21;10,88
13;18;50;-19;11,73
27;18;52;-39;22,80
27;13;52;-38;17,71
40;-22;14;-14;15,33
62;16;-19;30;-24,65
32;10;-19;16;-13,26
40;-25;16;53;-33,51
21;-15;14;20;-15,25
27;14;52;-13;14,94
42;-28;14;-19;20,29
70;-18;15;-50;13,30
61;10;-15;21;-10,67
14;19;51;-19;14,79
26;20;51;-39;22,80
70;-18;15;-51;12,28
61;10;-15;21;10,87
12;18;50;-19;10,73
25;13;54;-38;17,71
41;-22;13;-14;15,33
26;19;52;-39;22,80
31;9;-19;16;-15,22
60;10;-16;21;12,87
41;-23;10;11;51,90
61;17;13;-62;-11,18
11;61;-15;32;-18,71
12;11;17;-19;13,34
61;17;14;-68;20,44
26;13;-19;13;-15,18
17;19;-18;27;-29,16
31;-18;51;17;-22,59
90;-82;24;50;-18,64
21;19;-12;-13;25,40
72;-18;15;-12;24,81
26;10;-18;22;-21,19
60;10;-16;20;13,87
42;-23;10;10;51,90
60;14;13;-62;-11,18
32;8;-19;16;-15,22
26;13;52;-38;18,71
15;16;50;-19;11,73
70;-18;16;-51;11,28
62;10;-15;21;10,88
42;-22;12;-14;15,33
25;19;52;-39;23,80
60;11;-17;15;-16,53
41;-23;10;11;-26,13
62;15;13;-62;11,39
31;10;-19;17;-12,27
71;-18;15;-50;13,31
62;10;-15;20;-10,67
14;18;55;-18;11,80
26;20;52;-39;12,71
27;13;51;-32;17,76
40;-21;13;-14;15,33
