35;-13;12;12;-14;12,44
44;52;-33;11;-13;22,83
24;22;-32;51;11;-20,56
61;12;14;-20;12;-51,28
13;21;12;-32;22;12,48
80;14;-33;14;-12;15,78
14;13;-23;53;10;-51,16
11;51;14;-11;21;-12,74
71;14;-11;-11;13;-60,16
21;14;-13;23;-11;12,46
56;11;21;-14;12;-13,73
61;12;24;-34;22;-12,73
10;22;13;-22;13;51,87
13;24;-11;13;-25;14,28
71;14;14;-87;34;-12,34
13;33;-24;13;12;-24,23
11;13;12;-12;22;-13,33
12;23;-21;22;-11;-14,11
10;30;-20;14;13;-23,24
52;23;-13;33;-72;12,35
82;14;-33;13;-12;14,78
14;12;-24;52;10;-50,14
10;51;14;-12;22;-13,72
35;-12;11;12;-13;12,45
43;52;-33;12;-13;22,83
24;22;-31;52;11;-20,58
60;11;14;-21;13;-50,27
71;14;-12;-11;12;-61,13
20;15;-13;23;-11;13,47
11;21;13;-33;22;11,45
14;12;-23;53;11;-50,17
10;52;14;-12;22;-13,73
36;-12;12;13;-14;12,47
21;13;-13;23;-11;13,46
41;52;-32;11;-12;24,84
24;21;-32;51;11;-20,55
63;11;12;-20;13;-50,29
72;14;-12;-11;12;-60,15
13;21;12;-32;21;12,47
82;13;-33;13;-11;14,78
24;22;-31;52;11;-20,17
60;11;14;-21;13;-50,11
13;21;12;-32;21;12,24
61;12;14;-20;12;-51,35
13;20;13;-32;22;12,48
82;14;-33;13;-12;14,78
14;12;-23;53;11;-50,58
12;23;-21;22;-11;-14,27
10;30;-20;14;13;-23,47
52;23;-13;33;-72;12,28
13;14;22;-10;-13;22,48
10;30;-20;14;13;-23,24
52;23;-13;33;-72;12,35
11;13;12;-14;12;-22,12
83;13;-33;12;-12;13,76
14;12;-24;52;10;-51,13
13;51;13;-12;20;-12,73
12;23;-21;22;-11;-14,11
61;12;24;-34;22;-12,73
21;24;-30;12;21;-23,25
36;-12;12;12;-14;12,46
44;53;-33;12;-13;22,85
24;22;-31;51;11;-20,57
62;12;14;-20;-12;22,78
12;23;11;-32;22;10,46
80;14;-33;14;-12;13,76
13;13;-23;52;20;-51,24
14;51;12;-11;21;-23,64
71;12;13;-33;13;-60,16
22;14;-13;22;-11;13,47
37;-12;12;13;-13;12,45
41;53;-33;13;-13;22,83
24;22;-31;52;11;-20,58
23;15;-13;21;-11;12,47
13;21;11;-33;22;11,45
83;14;-33;12;-12;14,78
14;12;-24;52;10;-50,14
60;11;14;-21;13;-50,27
70;15;-12;-11;12;-61,13
11;50;13;-12;23;-13,72
43;52;-32;11;-12;22,84
24;21;-32;51;11;-20,55
13;21;12;-32;21;12,47
82;13;-33;13;-11;14,78
14;12;-23;53;11;-50,17
10;52;14;-12;22;-13,73
61;12;13;-20;13;-50,29
70;15;-12;-11;13;-60,15
36;-12;12;13;-14;12,47
21;13;-13;23;-11;13,46
61;12;13;-20;13;-50,23
72;14;-12;-11;12;-60,74
13;21;12;-32;21;12,24
82;13;-33;13;-11;14,46
43;51;-32;11;-12;21,84
24;21;-32;51;11;-20,55
13;12;23;-14;11;-22,29
11;52;14;-12;22;-13,15
35;-12;12;-14;24;-21,47
21;13;-13;23;-11;13,78
